Number,Name,Jockie,Weight,Popularity,Odds
1,OceanBlue,石川 裕紀人,446,15,122.8
2,HitTheTarget,小牧 太,516,13,55.4
3,LastImpact,菱田 裕二,496,9,20.6
4,LovelyDay,川田 将雅,488,2,4.5
5,AdmireDeus,岩田 康誠,484,11,34.4
6,Albert,A.アッゼニ,466,7,16.1
7,GoldActor,吉田 隼人,494,8,17
8,OneAndOnly,浜中 俊,498,10,30.4
9,SoundsOfEarth,M.デムーロ,502,5,9.9
10,TosenReve,H.ボウマン,480,14,86.7
11,KitasanBlack,横山 典弘,526,4,8.4
12,LiaFail,C.ルメール,506,3,5.6
13,RougeBack,戸崎 圭太,458,6,10.7
14,DerbyFizz,大野 拓弥,462,16,138.8
15,GoldShip,内田 博幸,508,1,4.1
16,Marialite,蛯名 正義,434,12,41.5
