Date,Race,Rank,Place,Ground,Length,All,Number,Popularity,Odds,Results,Jockie,Weight,Time
151129,JC(GI),G1,東京,grass,2400,18,17,10,42.8,16,岩田康誠,480,145
151101,天皇賞(GI),G1,東京,grass,2000,18,18,16,106.3,11,岩田康誠,480,119
150503,天皇賞(GI),G1,京都,grass,3200,17,17,3,5.4,15,岩田康誠,470,197
150328,日経賞(GII),G2,中山,grass,2500,12,6,4,5.4,1,岩田康誠,472,150
150118,日経新(GII),G2,京都,grass,2400,18,4,6,12.1,1,岩田康誠,478,144
140601,東京優(GI),G1,東京,grass,2400,18,4,10,66.8,7,岩田康誠,470,145
140420,皐月賞(GI),G1,中山,grass,2000,18,6,7,19.7,9,岩田康誠,464,120
140322,若葉S,NULL,阪神,grass,2000,12,3,2,5.1,1,岩田康誠,470,121
140222,あすな,NULL,小倉,grass,2000,9,1,1,2.8,1,丸山元気,470,119
140201,梅花賞,NULL,京都,grass,2400,13,9,4,9,3,和田竜二,472,146
