Date,Race,Rank,Place,Ground,Length,All,Number,Popularity,Odds,Results,Jockie,Weight,Time
151205,ステイ(GII),G2,中山,grass,3600,16,2,1,3.2,1,R.ムーア,466,225
151114,比叡S,NULL,京都,grass,2400,14,11,3,4.8,1,A.アッゼニ,464,147
151010,本栖湖,NULL,東京,grass,2400,10,10,2,3.8,1,戸崎圭太,460,145
150830,3歳上,NULL,札幌,grass,2000,16,5,3,4.7,1,J.モレイラ,470,119
150725,3歳上,NULL,函館,grass,1800,14,10,1,3.4,7,丸山元気,472,110
150628,奥尻特,NULL,函館,grass,1800,12,4,2,3.6,2,丸山元気,474,110
150111,初咲賞,NULL,中山,grass,1800,12,10,2,3.8,6,F.ベリー,458,108
141108,3歳上,NULL,東京,grass,1800,11,7,3,7.4,3,R.ムーア,460,108
141026,3歳上,NULL,東京,grass,2000,17,14,6,16.3,1,F.ベリー,458,120
140601,3歳,NULL,東京,grass,1600,18,3,6,15.4,7,戸崎圭太,458,94
