Date,Race,Rank,Place,Ground,Length,All,Number,Popularity,Odds,Results,Jockie,Weight,Time
151129,JC(GI),G1,東京,grass,2400,18,9,18,200.1,9,田辺裕信,468,145
151101,天皇賞(GI),G1,東京,grass,2000,18,12,12,48.6,15,C.デムーロ,466,119
150823,札幌記(GII),G2,札幌,grass,2000,15,4,4,9.6,3,岩田康誠,450,119
150719,函館記(GIII),G3,函館,grass,2000,16,5,3,6.4,1,岩田康誠,448,119
150531,目黒記(GII),G2,東京,grass,2500,18,15,2,5.7,6,蛯名正義,454,150
150426,府中S,NULL,東京,grass,2000,11,4,2,4.7,1,蛯名正義,460,119
150411,湾岸S,NULL,中山,grass,2200,14,10,5,9.6,7,田中勝春,466,135
150207,箱根特,NULL,東京,grass,2400,16,2,2,5.1,1,蛯名正義,464,146
150117,4歳上,NULL,中山,grass,2200,13,10,1,2.9,4,蛯名正義,466,134
141122,南武特,NULL,東京,grass,2400,17,3,2,3.8,4,柴田善臣,458,146
