Date,Race,Rank,Place,Ground,Length,All,Number,Popularity,Odds,Results,Jockie,Weight,Time
151108,アルゼ(GII),G2,東京,grass,2500,18,15,1,2.1,1,吉田隼人,490,154
151012,オクト,NULL,東京,grass,2400,12,3,1,2,1,吉田隼人,488,145
150704,洞爺湖,NULL,函館,grass,2000,13,7,1,1.9,1,吉田隼人,486,122
141026,菊花賞(GI),G1,京都,grass,3000,18,10,7,19.6,3,吉田隼人,476,181
140823,支笏湖,NULL,札幌,grass,2600,14,7,1,1.8,1,吉田隼人,478,164
140802,3歳上,NULL,札幌,grass,2600,10,5,1,1.7,1,吉田隼人,480,162
140503,青葉賞(GII),G2,東京,grass,2400,18,10,7,22.5,4,石橋脩,474,146
140405,山吹賞,NULL,中山,grass,2200,16,15,3,5.2,2,石橋脩,468,135
140210,ゆりか,NULL,東京,grass,2400,16,9,14,44.8,2,石橋脩,462,150
140112,未勝利,NULL,中山,grass,2200,16,12,3,8.6,1,石橋脩,480,135
