Date,Race,Rank,Place,Ground,Length,All,Number,Popularity,Odds,Results,Jockie,Weight,Time
151129,JC(GI),G1,東京,grass,2400,18,12,2,4.7,10,横山典弘,510,145
150628,宝塚記(GI),G1,阪神,grass,2200,16,15,1,1.9,15,横山典弘,506,135
150503,天皇賞(GI),G1,京都,grass,3200,17,1,2,4.6,1,横山典弘,510,194
150322,阪大賞(GII),G2,阪神,grass,3000,10,8,1,1.6,1,岩田康誠,508,185
150125,AJC(GII),G2,中山,grass,2200,17,8,1,1.3,7,岩田康誠,516,134
141228,有馬記(GI),G1,中山,grass,2500,16,14,1,3.5,3,岩田康誠,510,155
140824,札幌記(GII),G2,札幌,grass,2000,14,5,1,1.8,2,横山典弘,502,119
140629,宝塚記(GI),G1,阪神,grass,2200,12,11,1,2.7,1,横山典弘,504,133
140504,天皇賞(GI),G1,京都,grass,3200,18,8,2,4.3,7,C.ウィリアムズ,506,195
140323,阪大賞(GII),G2,阪神,grass,3000,9,1,1,1.7,1,岩田康誠,508,186
