Date,Race,Rank,Place,Ground,Length,All,Number,Popularity,Odds,Results,Jockie,Weight,Time
151129,JC(GI),NULL,中山,grass,2000,10,3,3,5.2,1,H.ボウマン,478,119
151101,天皇賞(GI),NULL,京都,grass,2000,11,11,4,10.7,1,H.ボウマン,484,120
150823,札幌記(GII),G3,中京,grass,1600,16,2,5,12,12,Z.パートン,476,94
150503,天皇賞(GI),NULL,京都,grass,1600,16,12,9,13.7,3,A.シュタルケ,484,93
150322,阪大賞(GII),NULL,東京,grass,1600,16,12,10,26.9,11,P.ブドー,476,94
141228,有馬記(GI),G3,東京,grass,1600,16,1,11,25.8,14,P.ブドー,472,94
141206,金鯱賞(GII),NULL,阪神,grass,1600,13,12,5,8.4,7,藤岡佑介,482,94
141014,京大賞(GII),G3,京都,grass,1600,16,5,4,9.4,8,武豊,470,92
140907,新潟記(GIII),NULL,阪神,grass,1600,18,1,1,2.9,6,A.シュタルケ,476,94
140810,小倉記(GIII),G2,中山,grass,1800,15,4,5,7.5,5,W.ビュイック,468,107
