Date,Race,Rank,Place,Ground,Length,All,Number,Popularity,Odds,Results,Jockie,Weight,Time
151129,JC(GI),G1,東京,grass,2400,18,1,1,2.7,3,川田将雅,486,144
151101,天皇賞(GI),G1,東京,grass,2000,18,8,1,3.4,1,浜中俊,486,118
151012,京大賞(GII),G2,京都,grass,2400,10,1,1,3.1,1,川田将雅,490,143
150628,宝塚記(GI),G1,阪神,grass,2200,16,16,6,14.2,1,川田将雅,488,134
150606,鳴尾記(GIII),G3,阪神,grass,2000,11,10,2,4,1,岩田康誠,486,118
150503,天皇賞(GI),G1,京都,grass,3200,17,10,8,24.9,8,C.ルメール,494,195
150322,阪大賞(GII),G2,阪神,grass,3000,10,7,3,7.3,6,A.シュタルケ,498,187
150215,京都記(GII),G2,京都,grass,2200,11,6,3,8.5,1,戸崎圭太,490,131
150104,中金杯(GIII),G3,中山,grass,2000,17,2,4,6.1,1,F.ベリー,482,117
141206,金鯱賞(GII),G2,中京,grass,2000,17,16,6,11.9,4,幸英明,484,119
