Date,Race,Rank,Place,Ground,Length,All,Number,Popularity,Odds,Results,Jockie,Weight,Time
151115,エリ女(GI),G1,京都,grass,2200,18,12,6,15.2,1,蛯名正義,430,134
150927,産経オ(GII),G2,中山,grass,2200,15,14,4,11.1,5,蛯名正義,440,132
150614,マーメ(GIII),G3,阪神,grass,2000,16,12,1,3.5,2,蛯名正義,428,120
150509,緑風S,NULL,東京,grass,2400,18,4,2,4.4,1,蛯名正義,426,145
150308,潮来特,NULL,中山,grass,2500,11,9,2,3.7,1,蛯名正義,430,159
150214,4歳上,NULL,東京,grass,1800,16,5,1,4.4,3,蛯名正義,426,107
141116,tvk,NULL,東京,grass,2000,14,12,3,5.5,5,大野拓弥,416,120
141011,山中湖,NULL,東京,grass,1800,14,6,1,3.2,3,蛯名正義,426,106
140803,三面川,NULL,新潟,grass,1800,15,7,2,4.3,3,蛯名正義,412,106
140629,3歳上,NULL,東京,grass,1800,13,5,1,2.1,1,蛯名正義,418,108
