Date,Race,Rank,Place,Ground,Length,All,Number,Popularity,Odds,Results,Jockie,Weight,Time
151205,金鯱賞(GII),NULL,中京,grass,2000,12,7,11,86.2,11,H.ボウマン,444,121
150927,産経オ(GII),NULL,中山,grass,2200,15,2,13,78.2,8,三浦皇成,434,132
150809,小倉記(GIII),G3,小倉,grass,2000,17,2,10,38.2,8,松山弘平,436,118
150628,宝塚記(GI),NULL,阪神,grass,2200,16,10,15,283.7,14,松山弘平,436,135
150531,目黒記(GII),NULL,東京,grass,2500,18,5,14,59,15,C.ルメール,438,151
150125,AJC(GII),G3,中山,grass,2200,17,13,13,92.1,16,後藤浩輝,434,134
141228,有馬記(GI),NULL,中山,grass,2500,16,16,15,87.1,16,蛯名正義,432,156
141206,金鯱賞(GII),G3,中京,grass,2000,17,7,10,41.6,12,松山弘平,436,120
140504,天皇賞(GI),NULL,京都,grass,3200,18,13,14,179.2,12,藤田伸二,444,196
140329,日経賞(GII),G2,中山,grass,2500,15,13,4,9.3,10,M.デムーロ,446,155
