Date,Race,Rank,Place,Ground,Length,All,Number,Popularity,Odds,Results,Jockie,Weight,Time
151129,JC(GI),G1,東京,grass,2400,18,3,13,67.7,7,内田博幸,498,145
151101,天皇賞(GI),G1,東京,grass,2000,18,11,11,35.6,16,内田博幸,498,119
151012,京大賞(GII),G2,京都,grass,2400,10,2,4,6.1,6,C.ルメール,494,144
150628,宝塚記(GI),G1,阪神,grass,2200,16,7,4,10.6,11,M.デムーロ,482,135
141228,有馬記(GI),G1,中山,grass,2500,16,3,5,11.8,13,横山典弘,492,156
141130,JC(GI),G1,東京,grass,2400,18,10,8,14.3,7,横山典弘,488,144
141026,菊花賞(GI),G1,京都,grass,3000,18,15,1,2.4,9,横山典弘,486,182
140928,神戸新(GII),G2,阪神,grass,2400,16,10,1,1.6,1,横山典弘,478,144
140601,東京優(GI),G1,東京,grass,2400,18,2,3,5.6,1,横山典弘,482,144
140420,皐月賞(GI),G1,中山,grass,2000,18,1,4,6.7,4,横山典弘,478,119
