Date,Race,Rank,Place,Ground,Length,All,Number,Popularity,Odds,Results,Jockie,Weight,Time
151220,ディセ,NULL,中山,grass,2000,10,3,3,5.2,1,H.ボウマン,478,119
121121,アンド,NULL,京都,grass,2000,11,11,4,10.7,1,H.ボウマン,484,120
150726,中京記(GIII),G3,中京,grass,1600,16,2,5,12,12,Z.パートン,476,94
150222,洛陽S,NULL,京都,grass,1600,16,12,9,13.7,3,A.シュタルケ,484,93
141130,キャピ,NULL,東京,grass,1600,16,12,10,26.9,11,P.ブドー,476,94
141025,富士S(GIII),G3,東京,grass,1600,16,1,11,25.8,14,P.ブドー,472,94
141005,ポート,NULL,阪神,grass,1600,13,12,5,8.4,7,藤岡佑介,482,94
140105,京金杯(GIII),G3,京都,grass,1600,16,5,4,9.4,8,武豊,470,92
130324,六甲S,NULL,阪神,grass,1600,18,1,1,2.9,6,A.シュタルケ,476,94
130224,中山記(GII,G2,中山,grass,1800,15,4,5,7.5,5,W.ビュイック,468,107
